Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,VT,1 Manchester,5255,Bennington,0,0.07,0,0.01,0,0,0,0,0,0,0,January 2023,0,47.02,0,0,47.02
OGS/MT,MT,Choteau,59422,Teton,0,0,0,0,0,93.6,0,0,0,0,0,January 2023,0,93.6,0,0,0
OGS/MT,MA,Wendell,1379,Franklin,0,0.0625,0,0,0,113.4,7.0875,0,0,0,0,January 2023,0,113.4,0,7.09,0
OGS/MT,ME,South Paris,4281,Oxford,0.055,0.055,0,0,0,26.75,1.47125,1.47125,0,0,0,January 2023,0,26.75,34,1.47,0
OGS/MT,MA,Charlemont,1339,Franklin,0,0.0625,0,0,0,62.75,3.921875,0,0,0,0,January 2023,0,73.25,20,3.92,0
OGS/MT,ME,Bath,4530,Sagadahoc,0.055,0.055,0,0,0,16,0.88,0.88,0,0,0,January 2023,0,16,0,0.88,0
OGS/MT,MA,Vineyard Haven,2568,Dukes,0,0.0625,0,0,0,50,3.125,0,0,0,0,January 2023,0,50,0,3.13,0
OGS/MT,NY,Berkshire,13736,Tioga,0,0.08,0.04,0,0,82.35,6.588,0,3.294,0,0,January 2023,0,38.86,43.5,6.59,82.36
OGS/MT,VT,Essex,5452,Chittenden,0,0.07,0,0.01,0,12.43,0.8701,0,0,0.1243,0,January 2023,0,23.75,20,0.87,43.75
OGS/MT,ME,Long Pond Township,4945,Somerset,0.055,0.055,0,0,0,3.56,0.1958,0.1958,0,0,0,January 2023,0,3.56,0,0.2,0
OGS/MT,MN,Northfield,55057,316 Rice,0,0.07375,0,0,0.005,69.5,5.125625,0,0,0,0.3475,January 2023,0,57.5,12,5.13,69.5
OGS/MT,MO,Koshkonong,65692,Oregon,0,0,0,0,0,85.5,0,0,0,0,0,March 2023,0,85.5,0,0,0
OGS/MT,NH,Snowville,3849,Carroll,0,0,0,0,0,16,0,0,0,0,0,January 2023,0,16,0,0,0
OGS/MT,NH,Etna,3750,Grafton,0,0,0,0,0,13.36,0,0,0,0,0,January 2023,0,13.36,0,0,0
OGS/MT,WA,2102 Chehalis,98532,2100 Lewis,0,0.082,0.013,0.017,0,22,1.804,0,0.286,0.374,0,January 2023,0,10,12,1.8,22
OGS/MT,ME,Machias,4654,Washington,0.055,0.055,0,0,0,6.89,0.37895,0.37895,0,0,0,January 2023,0,6.89,0,0.38,0
OGS/MT,WV,Elkview,25071,Kanawha,0,0.06,0,0,0,212.35,12.741,0,0,0,0,January 2023,0,183.35,29,12.74,212.35
OGS/MT,CA,Dulzura,91917,San Diego,0,0,0,0,0,34.25,0,0,0,0,0,January 2023,0,22.25,12,0,0
OGS/MT,ME,Perry,4667,Washington,0.055,0.055,0,0,0,13.5,0.7425,0.7425,0,0,0,January 2023,0,13.5,12,0.74,0
OGS/MT,ME,East Wilton,4234,Franklin,0.055,0.055,0,0,0,30.25,1.66375,1.66375,0,0,0,January 2023,0,30.25,0,1.66,0
OGS/MT,IN,Plymouth,46563,Marshall,0,0.07,0,0,0,63.47,4.4429,0,0,0,0,January 2023,0,43.48,20,4.44,63.48
OGS/MT,NH,Harrisville,3450,Cheshire,0,0,0,0,0,57.75,0,0,0,0,0,January 2023,0,37.75,20,0,0
OGS/MT,MI,Hesperia,49421,Oceana,0,0.06,0,0,0,260.74,15.6444,0,0,0,0,January 2023,0,208.73,52,15.64,260.73
OGS/MT,MN,Winona,55987,545 Winona,0,0.07375,0,0,0.005,31,2.28625,0,0,0,0.155,January 2023,0,11,20,2.29,31
OGS/MT,CT,Sharon,6069,Litchfield,0,0.0635,0,0,0,97.15,6.169025,0,0,0,0,January 2023,0,68.14,29,6.17,97.14
OGS/MT,ME,Dover-Foxcroft,4426,Piscataquis,0.055,0.055,0,0,0,47.75,2.62625,2.62625,0,0,0,January 2023,0,47.75,0,2.63,0
OGS/MT,MI,Nashville,49073,Barry,0,0.06,0,0,0,97.02,5.8212,0,0,0,0,March 2023,0,97.02,0,5.82,97.02
OGS/MT,MA,Northfield,1360,Franklin,0,0.0625,0,0,0,9.5,0.59375,0,0,0,0,January 2023,0,48.75,23,0.59,0
OGS/MT,MA,Brookline,2445,Norfolk,0,0.0625,0,0,0,10.75,0.671875,0,0,0,0,January 2023,0,10.75,0,0.67,0
OGS/MT,WA,Vashon,98070,4000 King,0,0.087,0.022,0,0,15.09,1.31283,0,0.33198,0,0,January 2023,0,15.1,0,1.31,15.1
OGS/MT,CT,Madison,6443,New Haven,0,0.0635,0,0,0,110.25,7.000875,0,0,0,0,January 2023,0,90.25,20,7,110.25
